CRMID,GuestID,Outcome
CRM0193,G0193,Positive
CRM0194,G0194,Negative
CRM0195,G0195,Positive
CRM0196,G0196,Positive
CRM0197,G0197,Negative
CRM0198,G0198,Neutral
CRM0199,G0199,Negative
CRM0200,G0200,Neutral
CRM0201,G0201,Negative
CRM0202,G0202,Positive
CRM0203,G0203,Negative
CRM0204,G0204,Positive
CRM0205,G0205,Negative
CRM0206,G0206,Neutral
CRM0207,G0207,Neutral
CRM0208,G0208,Neutral
CRM0209,G0209,Neutral
CRM0210,G0210,Neutral
CRM0211,G0211,Neutral
CRM0212,G0212,Negative
CRM0213,G0213,Positive
CRM0214,G0214,Negative
CRM0215,G0215,Negative
CRM0216,G0216,Negative
CRM0217,G0217,Positive
CRM0218,G0218,Neutral
CRM0219,G0219,Negative
CRM0220,G0220,Negative
CRM0221,G0221,Positive
CRM0222,G0222,Negative
CRM0223,G0223,Negative
CRM0224,G0224,Negative
CRM0225,G0225,Neutral
CRM0226,G0226,Negative
CRM0227,G0227,Neutral
CRM0228,G0228,Negative
CRM0229,G0229,Neutral
CRM0230,G0230,Positive
CRM0231,G0231,Negative
CRM0232,G0232,Negative
CRM0233,G0233,Positive
CRM0234,G0234,Neutral
CRM0235,G0235,Positive
CRM0236,G0236,Neutral
CRM0237,G0237,Positive
CRM0238,G0238,Negative
CRM0239,G0239,Neutral
CRM0240,G0240,Negative
CRM0241,G0241,Negative
CRM0242,G0242,Positive
CRM0243,G0243,Negative
CRM0244,G0244,Neutral
CRM0245,G0245,Negative
CRM0246,G0246,Positive
CRM0247,G0247,Positive
CRM0248,G0248,Neutral
CRM0249,G0249,Positive
CRM0250,G0250,Negative
CRM0251,G0251,Neutral
CRM0252,G0252,Neutral
CRM0253,G0253,Neutral
CRM0254,G0254,Neutral
CRM0255,G0255,Neutral
CRM0256,G0256,Negative
CRM0257,G0257,Neutral
CRM0258,G0258,Neutral
CRM0259,G0259,Positive
CRM0260,G0260,Neutral
CRM0261,G0261,Positive
CRM0262,G0262,Negative
CRM0263,G0263,Negative
CRM0264,G0264,Negative
CRM0265,G0265,Negative
CRM0266,G0266,Positive
CRM0267,G0267,Neutral
CRM0268,G0268,Positive
CRM0269,G0269,Negative
CRM0270,G0270,Positive
CRM0271,G0271,Negative
CRM0272,G0272,Neutral
CRM0273,G0273,Negative
CRM0274,G0274,Neutral
CRM0275,G0275,Neutral
CRM0276,G0276,Positive
CRM0277,G0277,Positive
CRM0278,G0278,Positive
CRM0279,G0279,Positive
CRM0280,G0280,Neutral
CRM0281,G0281,Neutral
CRM0282,G0282,Negative
CRM0283,G0283,Neutral
CRM0284,G0284,Positive
CRM0285,G0285,Neutral
CRM0286,G0286,Negative
CRM0287,G0287,Positive
CRM0288,G0288,Positive
CRM0289,G0289,Neutral
CRM0290,G0290,Neutral
CRM0291,G0291,Negative
CRM0292,G0292,Positive
CRM0293,G0293,Neutral
CRM0294,G0294,Negative
CRM0295,G0295,Positive
CRM0296,G0296,Positive
CRM0297,G0297,Neutral
CRM0298,G0298,Neutral
CRM0299,G0299,Positive
CRM0300,G0300,Positive
CRM0301,G0301,Negative
CRM0302,G0302,Positive
CRM0303,G0303,Neutral
CRM0304,G0304,Positive
CRM0305,G0305,Positive
CRM0306,G0306,Negative
CRM0307,G0307,Neutral
CRM0308,G0308,Negative
CRM0309,G0309,Neutral
CRM0310,G0310,Neutral
CRM0311,G0311,Neutral
CRM0312,G0312,Neutral
CRM0313,G0313,Neutral
CRM0314,G0314,Positive
CRM0315,G0315,Positive
CRM0316,G0316,Negative
CRM0317,G0317,Positive
CRM0318,G0318,Negative
CRM0319,G0319,Neutral
CRM0320,G0320,Positive
CRM0321,G0321,Neutral
CRM0322,G0322,Negative
CRM0323,G0323,Positive
CRM0324,G0324,Positive
CRM0325,G0325,Negative
CRM0326,G0326,Positive
CRM0327,G0327,Negative
CRM0328,G0328,Negative
CRM0329,G0329,Positive
CRM0330,G0330,Positive
CRM0331,G0331,Negative
CRM0332,G0332,Neutral
CRM0333,G0333,Neutral
CRM0334,G0334,Positive
CRM0335,G0335,Positive
CRM0336,G0336,Neutral
CRM0337,G0337,Negative
CRM0338,G0338,Negative
CRM0339,G0339,Neutral
CRM0340,G0340,Positive
CRM0341,G0341,Positive
CRM0342,G0342,Positive
CRM0343,G0343,Neutral
CRM0344,G0344,Neutral
CRM0345,G0345,Neutral
CRM0346,G0346,Negative
CRM0347,G0347,Negative
CRM0348,G0348,Negative
CRM0349,G0349,Negative
CRM0350,G0350,Neutral
CRM0351,G0351,Neutral
CRM0352,G0352,Negative
CRM0353,G0353,Positive
CRM0354,G0354,Neutral
CRM0355,G0355,Neutral
CRM0356,G0356,Neutral
CRM0357,G0357,Positive
CRM0358,G0358,Positive
CRM0359,G0359,Neutral
CRM0360,G0360,Positive
CRM0361,G0361,Positive
CRM0362,G0362,Positive
CRM0363,G0363,Negative
CRM0364,G0364,Positive
CRM0365,G0365,Positive
CRM0366,G0366,Negative
CRM0367,G0367,Positive
CRM0368,G0368,Negative
CRM0369,G0369,Negative
CRM0370,G0370,Positive
CRM0371,G0371,Positive
CRM0372,G0372,Neutral
CRM0373,G0373,Negative
CRM0374,G0374,Negative
CRM0375,G0375,Positive
CRM0376,G0376,Neutral
CRM0377,G0377,Negative
CRM0378,G0378,Neutral
CRM0379,G0379,Negative
CRM0380,G0380,Negative
CRM0381,G0381,Positive
CRM0382,G0382,Negative
CRM0383,G0383,Positive
CRM0384,G0384,Negative
CRM0385,G0385,Positive
CRM0386,G0386,Negative
CRM0387,G0387,Positive
CRM0388,G0388,Positive
CRM0389,G0389,Negative
CRM0390,G0390,Positive
CRM0391,G0391,Neutral
CRM0392,G0392,Neutral
CRM0393,G0393,Neutral
CRM0394,G0394,Positive
CRM0395,G0395,Negative
CRM0396,G0396,Neutral
CRM0397,G0397,Neutral
CRM0398,G0398,Negative
CRM0399,G0399,Positive
CRM0400,G0400,Positive
CRM0401,G0401,Negative
CRM0402,G0402,Negative
CRM0403,G0403,Negative
CRM0404,G0404,Positive
CRM0405,G0405,Neutral
CRM0406,G0406,Neutral
CRM0407,G0407,Negative
CRM0408,G0408,Positive
CRM0409,G0409,Negative
CRM0410,G0410,Negative
CRM0411,G0411,Neutral
CRM0412,G0412,Negative
CRM0413,G0413,Negative
CRM0414,G0414,Negative
CRM0415,G0415,Positive
CRM0416,G0416,Neutral
CRM0417,G0417,Positive
CRM0418,G0418,Negative
CRM0419,G0419,Negative
CRM0420,G0420,Negative
CRM0421,G0421,Positive
CRM0422,G0422,Neutral
CRM0423,G0423,Positive
CRM0424,G0424,Positive
CRM0425,G0425,Neutral
CRM0426,G0426,Positive
CRM0427,G0427,Negative
CRM0428,G0428,Positive
CRM0429,G0429,Neutral
CRM0430,G0430,Negative
CRM0431,G0431,Positive
CRM0432,G0432,Neutral
CRM0433,G0433,Negative
CRM0434,G0434,Neutral
CRM0435,G0435,Neutral
CRM0436,G0436,Positive
CRM0437,G0437,Positive
CRM0438,G0438,Negative
CRM0439,G0439,Neutral
CRM0440,G0440,Positive
CRM0441,G0441,Negative
CRM0442,G0442,Neutral
CRM0443,G0443,Neutral
CRM0444,G0444,Positive
CRM0445,G0445,Positive
CRM0446,G0446,Positive
CRM0447,G0447,Negative
CRM0448,G0448,Positive
CRM0449,G0449,Positive
CRM0450,G0450,Negative
CRM0451,G0451,Negative
CRM0452,G0452,Neutral
CRM0453,G0453,Positive
CRM0454,G0454,Positive
CRM0455,G0455,Negative
CRM0456,G0456,Positive
CRM0457,G0457,Negative
CRM0458,G0458,Negative
CRM0459,G0459,Positive
CRM0460,G0460,Neutral
CRM0461,G0461,Negative
CRM0462,G0462,Positive
CRM0463,G0463,Neutral
CRM0464,G0464,Neutral
CRM0465,G0465,Neutral
CRM0466,G0466,Neutral
CRM0467,G0467,Positive
CRM0468,G0468,Positive
CRM0469,G0469,Positive
CRM0470,G0470,Positive
CRM0471,G0471,Neutral
CRM0472,G0472,Neutral
CRM0473,G0473,Negative
CRM0474,G0474,Neutral
CRM0475,G0475,Neutral
CRM0476,G0476,Negative
CRM0477,G0477,Positive
CRM0478,G0478,Positive
CRM0479,G0479,Positive
CRM0480,G0480,Positive
CRM0481,G0481,Positive
CRM0482,G0482,Negative
CRM0483,G0483,Negative
CRM0484,G0484,Positive
CRM0485,G0485,Neutral
CRM0486,G0486,Neutral
CRM0487,G0487,Neutral
CRM0488,G0488,Negative
CRM0489,G0489,Neutral
CRM0490,G0490,Negative
CRM0491,G0491,Positive
CRM0492,G0492,Neutral
CRM0493,G0493,Neutral
CRM0494,G0494,Positive
CRM0495,G0495,Positive
CRM0496,G0496,Neutral
CRM0497,G0497,Neutral
CRM0498,G0498,Neutral
CRM0499,G0499,Neutral
CRM0500,G0500,Neutral
