ActivityID,GuestID,Activity
EXP0260,G0260,Yoga
EXP0261,G0261,Cruise
EXP0262,G0262,Cruise
EXP0263,G0263,Cruise
EXP0264,G0264,Tour
EXP0265,G0265,Tour
EXP0266,G0266,Yoga
EXP0267,G0267,Cruise
EXP0268,G0268,Tour
EXP0269,G0269,Tour
EXP0270,G0270,Yoga
EXP0271,G0271,Yoga
EXP0272,G0272,Spa
EXP0273,G0273,Spa
EXP0274,G0274,Yoga
EXP0275,G0275,Spa
EXP0276,G0276,Tour
EXP0277,G0277,Yoga
EXP0278,G0278,Yoga
EXP0279,G0279,Cruise
EXP0280,G0280,Tour
EXP0281,G0281,Tour
EXP0282,G0282,Cruise
EXP0283,G0283,Spa
EXP0284,G0284,Yoga
EXP0285,G0285,Spa
EXP0286,G0286,Tour
EXP0287,G0287,Spa
EXP0288,G0288,Tour
EXP0289,G0289,Yoga
EXP0290,G0290,Yoga
EXP0291,G0291,Yoga
EXP0292,G0292,Cruise
EXP0293,G0293,Cruise
EXP0294,G0294,Cruise
EXP0295,G0295,Yoga
EXP0296,G0296,Yoga
EXP0297,G0297,Spa
EXP0298,G0298,Tour
EXP0299,G0299,Cruise
EXP0300,G0300,Yoga
EXP0301,G0301,Yoga
EXP0302,G0302,Tour
EXP0303,G0303,Cruise
EXP0304,G0304,Cruise
EXP0305,G0305,Spa
EXP0306,G0306,Yoga
EXP0307,G0307,Spa
EXP0308,G0308,Yoga
EXP0309,G0309,Tour
EXP0310,G0310,Spa
EXP0311,G0311,Yoga
EXP0312,G0312,Cruise
EXP0313,G0313,Tour
EXP0314,G0314,Yoga
EXP0315,G0315,Spa
EXP0316,G0316,Spa
EXP0317,G0317,Yoga
EXP0318,G0318,Tour
EXP0319,G0319,Yoga
EXP0320,G0320,Spa
EXP0321,G0321,Spa
EXP0322,G0322,Cruise
EXP0323,G0323,Cruise
EXP0324,G0324,Spa
EXP0325,G0325,Cruise
EXP0326,G0326,Cruise
EXP0327,G0327,Yoga
EXP0328,G0328,Tour
EXP0329,G0329,Yoga
EXP0330,G0330,Yoga
EXP0331,G0331,Cruise
EXP0332,G0332,Cruise
EXP0333,G0333,Tour
EXP0334,G0334,Tour
EXP0335,G0335,Tour
EXP0336,G0336,Yoga
EXP0337,G0337,Tour
EXP0338,G0338,Spa
EXP0339,G0339,Spa
EXP0340,G0340,Yoga
EXP0341,G0341,Cruise
EXP0342,G0342,Tour
EXP0343,G0343,Spa
EXP0344,G0344,Tour
EXP0345,G0345,Spa
EXP0346,G0346,Spa
EXP0347,G0347,Tour
EXP0348,G0348,Spa
EXP0349,G0349,Tour
EXP0350,G0350,Spa
EXP0351,G0351,Cruise
EXP0352,G0352,Yoga
EXP0353,G0353,Yoga
EXP0354,G0354,Tour
EXP0355,G0355,Yoga
EXP0356,G0356,Yoga
EXP0357,G0357,Yoga
EXP0358,G0358,Yoga
EXP0359,G0359,Cruise
EXP0360,G0360,Cruise
EXP0361,G0361,Yoga
EXP0362,G0362,Cruise
EXP0363,G0363,Cruise
EXP0364,G0364,Yoga
EXP0365,G0365,Tour
EXP0366,G0366,Yoga
EXP0367,G0367,Cruise
EXP0368,G0368,Tour
EXP0369,G0369,Cruise
EXP0370,G0370,Cruise
EXP0371,G0371,Spa
EXP0372,G0372,Spa
EXP0373,G0373,Spa
EXP0374,G0374,Cruise
EXP0375,G0375,Yoga
EXP0376,G0376,Yoga
EXP0377,G0377,Cruise
EXP0378,G0378,Spa
EXP0379,G0379,Cruise
EXP0380,G0380,Yoga
EXP0381,G0381,Yoga
EXP0382,G0382,Yoga
EXP0383,G0383,Cruise
EXP0384,G0384,Yoga
EXP0385,G0385,Yoga
EXP0386,G0386,Yoga
EXP0387,G0387,Yoga
EXP0388,G0388,Tour
EXP0389,G0389,Cruise
EXP0390,G0390,Cruise
EXP0391,G0391,Yoga
EXP0392,G0392,Spa
EXP0393,G0393,Yoga
EXP0394,G0394,Cruise
EXP0395,G0395,Tour
EXP0396,G0396,Yoga
EXP0397,G0397,Tour
EXP0398,G0398,Spa
EXP0399,G0399,Spa
EXP0400,G0400,Yoga
EXP0401,G0401,Tour
EXP0402,G0402,Spa
EXP0403,G0403,Yoga
EXP0404,G0404,Spa
EXP0405,G0405,Cruise
EXP0406,G0406,Tour
EXP0407,G0407,Yoga
EXP0408,G0408,Spa
EXP0409,G0409,Spa
EXP0410,G0410,Cruise
EXP0411,G0411,Yoga
EXP0412,G0412,Spa
EXP0413,G0413,Tour
EXP0414,G0414,Spa
EXP0415,G0415,Tour
EXP0416,G0416,Spa
EXP0417,G0417,Yoga
EXP0418,G0418,Yoga
EXP0419,G0419,Yoga
EXP0420,G0420,Tour
EXP0421,G0421,Yoga
EXP0422,G0422,Tour
EXP0423,G0423,Tour
EXP0424,G0424,Tour
EXP0425,G0425,Cruise
EXP0426,G0426,Spa
EXP0427,G0427,Tour
EXP0428,G0428,Tour
EXP0429,G0429,Spa
EXP0430,G0430,Yoga
EXP0431,G0431,Cruise
EXP0432,G0432,Spa
EXP0433,G0433,Tour
EXP0434,G0434,Spa
EXP0435,G0435,Tour
EXP0436,G0436,Yoga
EXP0437,G0437,Spa
EXP0438,G0438,Cruise
EXP0439,G0439,Spa
EXP0440,G0440,Tour
EXP0441,G0441,Tour
EXP0442,G0442,Cruise
EXP0443,G0443,Tour
EXP0444,G0444,Tour
EXP0445,G0445,Tour
EXP0446,G0446,Spa
EXP0447,G0447,Spa
EXP0448,G0448,Cruise
EXP0449,G0449,Cruise
EXP0450,G0450,Yoga
EXP0451,G0451,Tour
EXP0452,G0452,Cruise
EXP0453,G0453,Tour
EXP0454,G0454,Cruise
EXP0455,G0455,Yoga
EXP0456,G0456,Cruise
EXP0457,G0457,Spa
EXP0458,G0458,Tour
EXP0459,G0459,Spa
EXP0460,G0460,Cruise
EXP0461,G0461,Cruise
EXP0462,G0462,Yoga
EXP0463,G0463,Yoga
EXP0464,G0464,Yoga
EXP0465,G0465,Cruise
EXP0466,G0466,Yoga
EXP0467,G0467,Cruise
EXP0468,G0468,Cruise
EXP0469,G0469,Tour
EXP0470,G0470,Spa
EXP0471,G0471,Tour
EXP0472,G0472,Spa
EXP0473,G0473,Spa
EXP0474,G0474,Cruise
EXP0475,G0475,Yoga
EXP0476,G0476,Yoga
EXP0477,G0477,Yoga
EXP0478,G0478,Tour
EXP0479,G0479,Yoga
EXP0480,G0480,Cruise
EXP0481,G0481,Yoga
EXP0482,G0482,Yoga
EXP0483,G0483,Yoga
EXP0484,G0484,Tour
EXP0485,G0485,Cruise
EXP0486,G0486,Yoga
EXP0487,G0487,Spa
EXP0488,G0488,Tour
EXP0489,G0489,Yoga
EXP0490,G0490,Yoga
EXP0491,G0491,Tour
EXP0492,G0492,Spa
EXP0493,G0493,Spa
EXP0494,G0494,Tour
EXP0495,G0495,Yoga
EXP0496,G0496,Tour
EXP0497,G0497,Tour
EXP0498,G0498,Tour
EXP0499,G0499,Tour
EXP0500,G0500,Spa
