ActivityID,GuestID,Activity
FO0196,G0196,CheckIn
FO0197,G0197,Extension
FO0198,G0198,Room Change
FO0199,G0199,Room Change
FO0200,G0200,CheckOut
FO0201,G0201,Room Change
FO0202,G0202,CheckOut
FO0203,G0203,CheckIn
FO0204,G0204,CheckIn
FO0205,G0205,CheckOut
FO0206,G0206,Room Change
FO0207,G0207,Room Change
FO0208,G0208,CheckOut
FO0209,G0209,CheckOut
FO0210,G0210,CheckIn
FO0211,G0211,CheckOut
FO0212,G0212,Room Change
FO0213,G0213,CheckOut
FO0214,G0214,CheckOut
FO0215,G0215,CheckOut
FO0216,G0216,CheckIn
FO0217,G0217,CheckOut
FO0218,G0218,Extension
FO0219,G0219,Extension
FO0220,G0220,Extension
FO0221,G0221,Room Change
FO0222,G0222,Room Change
FO0223,G0223,CheckOut
FO0224,G0224,Extension
FO0225,G0225,CheckIn
FO0226,G0226,Extension
FO0227,G0227,Extension
FO0228,G0228,Room Change
FO0229,G0229,Room Change
FO0230,G0230,CheckIn
FO0231,G0231,Room Change
FO0232,G0232,CheckIn
FO0233,G0233,Room Change
FO0234,G0234,Extension
FO0235,G0235,Extension
FO0236,G0236,CheckIn
FO0237,G0237,CheckIn
FO0238,G0238,Room Change
FO0239,G0239,Room Change
FO0240,G0240,CheckIn
FO0241,G0241,CheckIn
FO0242,G0242,Extension
FO0243,G0243,Extension
FO0244,G0244,CheckIn
FO0245,G0245,Extension
FO0246,G0246,CheckOut
FO0247,G0247,Room Change
FO0248,G0248,Extension
FO0249,G0249,CheckOut
FO0250,G0250,CheckIn
FO0251,G0251,Extension
FO0252,G0252,CheckIn
FO0253,G0253,Room Change
FO0254,G0254,CheckIn
FO0255,G0255,CheckOut
FO0256,G0256,CheckIn
FO0257,G0257,CheckOut
FO0258,G0258,Extension
FO0259,G0259,Extension
FO0260,G0260,CheckOut
FO0261,G0261,Room Change
FO0262,G0262,Room Change
FO0263,G0263,Room Change
FO0264,G0264,Extension
FO0265,G0265,Extension
FO0266,G0266,Room Change
FO0267,G0267,CheckIn
FO0268,G0268,Room Change
FO0269,G0269,CheckIn
FO0270,G0270,Room Change
FO0271,G0271,CheckIn
FO0272,G0272,Extension
FO0273,G0273,Room Change
FO0274,G0274,Room Change
FO0275,G0275,CheckOut
FO0276,G0276,Room Change
FO0277,G0277,CheckIn
FO0278,G0278,CheckOut
FO0279,G0279,Room Change
FO0280,G0280,Room Change
FO0281,G0281,Extension
FO0282,G0282,CheckOut
FO0283,G0283,CheckIn
FO0284,G0284,Room Change
FO0285,G0285,Extension
FO0286,G0286,Room Change
FO0287,G0287,CheckOut
FO0288,G0288,CheckIn
FO0289,G0289,Extension
FO0290,G0290,Room Change
FO0291,G0291,CheckIn
FO0292,G0292,Room Change
FO0293,G0293,Room Change
FO0294,G0294,CheckOut
FO0295,G0295,CheckOut
FO0296,G0296,Room Change
FO0297,G0297,Extension
FO0298,G0298,CheckOut
FO0299,G0299,CheckOut
FO0300,G0300,CheckOut
FO0301,G0301,CheckOut
FO0302,G0302,CheckIn
FO0303,G0303,Room Change
FO0304,G0304,CheckIn
FO0305,G0305,CheckIn
FO0306,G0306,Room Change
FO0307,G0307,CheckOut
FO0308,G0308,Extension
FO0309,G0309,CheckOut
FO0310,G0310,CheckOut
FO0311,G0311,CheckOut
FO0312,G0312,CheckOut
FO0313,G0313,Extension
FO0314,G0314,CheckIn
FO0315,G0315,Extension
FO0316,G0316,Room Change
FO0317,G0317,CheckOut
FO0318,G0318,Extension
FO0319,G0319,Room Change
FO0320,G0320,Extension
FO0321,G0321,CheckOut
FO0322,G0322,CheckOut
FO0323,G0323,Room Change
FO0324,G0324,Extension
FO0325,G0325,CheckOut
FO0326,G0326,Room Change
FO0327,G0327,Extension
FO0328,G0328,Extension
FO0329,G0329,Room Change
FO0330,G0330,Extension
FO0331,G0331,Extension
FO0332,G0332,CheckOut
FO0333,G0333,CheckOut
FO0334,G0334,CheckOut
FO0335,G0335,Room Change
FO0336,G0336,CheckIn
FO0337,G0337,Extension
FO0338,G0338,Room Change
FO0339,G0339,CheckIn
FO0340,G0340,CheckIn
FO0341,G0341,Room Change
FO0342,G0342,CheckIn
FO0343,G0343,CheckOut
FO0344,G0344,Room Change
FO0345,G0345,Extension
FO0346,G0346,CheckOut
FO0347,G0347,Extension
FO0348,G0348,CheckIn
FO0349,G0349,CheckOut
FO0350,G0350,Extension
FO0351,G0351,Room Change
FO0352,G0352,CheckIn
FO0353,G0353,Extension
FO0354,G0354,CheckIn
FO0355,G0355,Extension
FO0356,G0356,Room Change
FO0357,G0357,CheckOut
FO0358,G0358,Extension
FO0359,G0359,CheckIn
FO0360,G0360,Room Change
FO0361,G0361,CheckOut
FO0362,G0362,CheckIn
FO0363,G0363,Room Change
FO0364,G0364,CheckIn
FO0365,G0365,Room Change
FO0366,G0366,CheckOut
FO0367,G0367,CheckOut
FO0368,G0368,CheckIn
FO0369,G0369,Room Change
FO0370,G0370,Extension
FO0371,G0371,CheckOut
FO0372,G0372,Extension
FO0373,G0373,Extension
FO0374,G0374,CheckIn
FO0375,G0375,CheckIn
FO0376,G0376,CheckIn
FO0377,G0377,Room Change
FO0378,G0378,CheckOut
FO0379,G0379,CheckOut
FO0380,G0380,Extension
FO0381,G0381,CheckIn
FO0382,G0382,Room Change
FO0383,G0383,CheckOut
FO0384,G0384,Room Change
FO0385,G0385,CheckIn
FO0386,G0386,CheckIn
FO0387,G0387,CheckOut
FO0388,G0388,Extension
FO0389,G0389,Extension
FO0390,G0390,CheckIn
FO0391,G0391,CheckIn
FO0392,G0392,Extension
FO0393,G0393,CheckIn
FO0394,G0394,CheckOut
FO0395,G0395,CheckOut
FO0396,G0396,Room Change
FO0397,G0397,Extension
FO0398,G0398,CheckIn
FO0399,G0399,Room Change
FO0400,G0400,CheckOut
FO0401,G0401,Extension
FO0402,G0402,CheckOut
FO0403,G0403,CheckIn
FO0404,G0404,Room Change
FO0405,G0405,CheckIn
FO0406,G0406,CheckIn
FO0407,G0407,Extension
FO0408,G0408,Extension
FO0409,G0409,CheckIn
FO0410,G0410,Extension
FO0411,G0411,Room Change
FO0412,G0412,Room Change
FO0413,G0413,CheckIn
FO0414,G0414,Room Change
FO0415,G0415,CheckIn
FO0416,G0416,Room Change
FO0417,G0417,CheckOut
FO0418,G0418,CheckIn
FO0419,G0419,Room Change
FO0420,G0420,CheckOut
FO0421,G0421,CheckIn
FO0422,G0422,Room Change
FO0423,G0423,Room Change
FO0424,G0424,CheckOut
FO0425,G0425,Extension
FO0426,G0426,Extension
FO0427,G0427,CheckOut
FO0428,G0428,CheckOut
FO0429,G0429,CheckIn
FO0430,G0430,Extension
FO0431,G0431,CheckIn
FO0432,G0432,Room Change
FO0433,G0433,CheckOut
FO0434,G0434,CheckIn
FO0435,G0435,CheckOut
FO0436,G0436,CheckIn
FO0437,G0437,Room Change
FO0438,G0438,Room Change
FO0439,G0439,Extension
FO0440,G0440,Extension
FO0441,G0441,Room Change
FO0442,G0442,CheckIn
FO0443,G0443,CheckOut
FO0444,G0444,Room Change
FO0445,G0445,Room Change
FO0446,G0446,CheckIn
FO0447,G0447,Room Change
FO0448,G0448,Room Change
FO0449,G0449,CheckIn
FO0450,G0450,Room Change
FO0451,G0451,Extension
FO0452,G0452,Extension
FO0453,G0453,Extension
FO0454,G0454,Extension
FO0455,G0455,Room Change
FO0456,G0456,CheckOut
FO0457,G0457,Extension
FO0458,G0458,Extension
FO0459,G0459,Room Change
FO0460,G0460,Room Change
FO0461,G0461,CheckIn
FO0462,G0462,Extension
FO0463,G0463,CheckIn
FO0464,G0464,Extension
FO0465,G0465,CheckOut
FO0466,G0466,Room Change
FO0467,G0467,Room Change
FO0468,G0468,CheckIn
FO0469,G0469,CheckIn
FO0470,G0470,Room Change
FO0471,G0471,Room Change
FO0472,G0472,Room Change
FO0473,G0473,Extension
FO0474,G0474,Extension
FO0475,G0475,CheckOut
FO0476,G0476,Extension
FO0477,G0477,Room Change
FO0478,G0478,Extension
FO0479,G0479,CheckIn
FO0480,G0480,Room Change
FO0481,G0481,Extension
FO0482,G0482,Room Change
FO0483,G0483,CheckIn
FO0484,G0484,CheckIn
FO0485,G0485,Extension
FO0486,G0486,Room Change
FO0487,G0487,CheckOut
FO0488,G0488,CheckIn
FO0489,G0489,CheckOut
FO0490,G0490,Extension
FO0491,G0491,CheckIn
FO0492,G0492,CheckOut
FO0493,G0493,CheckIn
FO0494,G0494,CheckOut
FO0495,G0495,Room Change
FO0496,G0496,Room Change
FO0497,G0497,Extension
FO0498,G0498,CheckIn
FO0499,G0499,CheckOut
FO0500,G0500,Extension
