OrderID,GuestID,Item,Amount
FB0131,G0131,Lunch,2145
FB0132,G0132,Dinner,1154
FB0133,G0133,Coffee,2109
FB0134,G0134,Coffee,789
FB0135,G0135,Dinner,793
FB0136,G0136,Lunch,2338
FB0137,G0137,Coffee,853
FB0138,G0138,Breakfast,2246
FB0139,G0139,Breakfast,404
FB0140,G0140,Breakfast,126
FB0141,G0141,Coffee,663
FB0142,G0142,Lunch,378
FB0143,G0143,Lunch,137
FB0144,G0144,Lunch,2171
FB0145,G0145,Coffee,1628
FB0146,G0146,Breakfast,2079
FB0147,G0147,Coffee,164
FB0148,G0148,Breakfast,2279
FB0149,G0149,Coffee,148
FB0150,G0150,Breakfast,2268
FB0151,G0151,Dinner,2294
FB0152,G0152,Dinner,170
FB0153,G0153,Coffee,834
FB0154,G0154,Breakfast,494
FB0155,G0155,Lunch,1087
FB0156,G0156,Lunch,2256
FB0157,G0157,Dinner,1551
FB0158,G0158,Dinner,1725
FB0159,G0159,Breakfast,1628
FB0160,G0160,Coffee,1980
FB0161,G0161,Lunch,1025
FB0162,G0162,Dinner,430
FB0163,G0163,Breakfast,482
FB0164,G0164,Coffee,1653
FB0165,G0165,Coffee,2363
FB0166,G0166,Coffee,329
FB0167,G0167,Breakfast,801
FB0168,G0168,Breakfast,2147
FB0169,G0169,Coffee,1456
FB0170,G0170,Breakfast,2263
FB0171,G0171,Breakfast,1041
FB0172,G0172,Lunch,2421
FB0173,G0173,Coffee,1210
FB0174,G0174,Breakfast,404
FB0175,G0175,Dinner,2324
FB0176,G0176,Breakfast,834
FB0177,G0177,Dinner,164
FB0178,G0178,Lunch,690
FB0179,G0179,Coffee,415
FB0180,G0180,Dinner,765
FB0181,G0181,Lunch,2421
FB0182,G0182,Coffee,2314
FB0183,G0183,Dinner,1672
FB0184,G0184,Lunch,421
FB0185,G0185,Dinner,319
FB0186,G0186,Breakfast,1890
FB0187,G0187,Lunch,411
FB0188,G0188,Dinner,1724
FB0189,G0189,Dinner,221
FB0190,G0190,Dinner,1945
FB0191,G0191,Coffee,1034
FB0192,G0192,Dinner,2365
FB0193,G0193,Coffee,1868
FB0194,G0194,Lunch,2499
FB0195,G0195,Coffee,451
FB0196,G0196,Dinner,1109
FB0197,G0197,Breakfast,436
FB0198,G0198,Dinner,731
FB0199,G0199,Coffee,731
FB0200,G0200,Coffee,1397
FB0201,G0201,Dinner,536
FB0202,G0202,Breakfast,121
FB0203,G0203,Dinner,1921
FB0204,G0204,Dinner,1204
FB0205,G0205,Breakfast,642
FB0206,G0206,Breakfast,867
FB0207,G0207,Coffee,1938
FB0208,G0208,Coffee,523
FB0209,G0209,Breakfast,467
FB0210,G0210,Dinner,2370
FB0211,G0211,Breakfast,1428
FB0212,G0212,Coffee,150
FB0213,G0213,Dinner,1794
FB0214,G0214,Coffee,446
FB0215,G0215,Lunch,2442
FB0216,G0216,Lunch,1659
FB0217,G0217,Lunch,668
FB0218,G0218,Dinner,1333
FB0219,G0219,Dinner,2119
FB0220,G0220,Lunch,359
FB0221,G0221,Lunch,1880
FB0222,G0222,Dinner,1824
FB0223,G0223,Dinner,2083
FB0224,G0224,Breakfast,1579
FB0225,G0225,Dinner,1110
FB0226,G0226,Coffee,900
FB0227,G0227,Coffee,538
FB0228,G0228,Lunch,1347
FB0229,G0229,Breakfast,1720
FB0230,G0230,Dinner,1656
FB0231,G0231,Dinner,1903
FB0232,G0232,Dinner,1863
FB0233,G0233,Lunch,1330
FB0234,G0234,Dinner,922
FB0235,G0235,Coffee,1386
FB0236,G0236,Lunch,1731
FB0237,G0237,Dinner,1293
FB0238,G0238,Coffee,2458
FB0239,G0239,Lunch,1434
FB0240,G0240,Coffee,1248
FB0241,G0241,Coffee,1595
FB0242,G0242,Breakfast,2409
FB0243,G0243,Lunch,2334
FB0244,G0244,Lunch,2353
FB0245,G0245,Breakfast,1990
FB0246,G0246,Lunch,1895
FB0247,G0247,Dinner,383
FB0248,G0248,Coffee,2145
FB0249,G0249,Lunch,1340
FB0250,G0250,Lunch,1134
FB0251,G0251,Lunch,1833
FB0252,G0252,Coffee,402
FB0253,G0253,Coffee,2062
FB0254,G0254,Coffee,2288
FB0255,G0255,Coffee,2326
FB0256,G0256,Breakfast,1572
FB0257,G0257,Breakfast,547
FB0258,G0258,Lunch,1554
FB0259,G0259,Lunch,281
FB0260,G0260,Coffee,1458
FB0261,G0261,Coffee,533
FB0262,G0262,Breakfast,503
FB0263,G0263,Dinner,1009
FB0264,G0264,Lunch,1925
FB0265,G0265,Dinner,1702
FB0266,G0266,Coffee,2149
FB0267,G0267,Lunch,1512
FB0268,G0268,Breakfast,2077
FB0269,G0269,Breakfast,1310
FB0270,G0270,Coffee,451
FB0271,G0271,Breakfast,680
FB0272,G0272,Dinner,1377
FB0273,G0273,Dinner,1965
FB0274,G0274,Lunch,2234
FB0275,G0275,Coffee,1526
FB0276,G0276,Coffee,499
FB0277,G0277,Coffee,1953
FB0278,G0278,Dinner,375
FB0279,G0279,Dinner,283
FB0280,G0280,Breakfast,192
FB0281,G0281,Dinner,547
FB0282,G0282,Lunch,1099
FB0283,G0283,Lunch,2360
FB0284,G0284,Lunch,1455
FB0285,G0285,Coffee,1992
FB0286,G0286,Lunch,1759
FB0287,G0287,Lunch,863
FB0288,G0288,Coffee,1720
FB0289,G0289,Breakfast,908
FB0290,G0290,Coffee,1859
FB0291,G0291,Coffee,118
FB0292,G0292,Lunch,942
FB0293,G0293,Dinner,356
FB0294,G0294,Breakfast,2299
FB0295,G0295,Lunch,1598
FB0296,G0296,Dinner,907
FB0297,G0297,Coffee,566
FB0298,G0298,Dinner,2104
FB0299,G0299,Dinner,1691
FB0300,G0300,Coffee,567
FB0301,G0301,Dinner,1541
FB0302,G0302,Coffee,806
FB0303,G0303,Dinner,447
FB0304,G0304,Lunch,1382
FB0305,G0305,Breakfast,1077
FB0306,G0306,Dinner,579
FB0307,G0307,Lunch,1629
FB0308,G0308,Lunch,2192
FB0309,G0309,Coffee,1813
FB0310,G0310,Lunch,2454
FB0311,G0311,Coffee,1832
FB0312,G0312,Lunch,2093
FB0313,G0313,Lunch,2372
FB0314,G0314,Lunch,2105
FB0315,G0315,Dinner,674
FB0316,G0316,Lunch,1388
FB0317,G0317,Coffee,319
FB0318,G0318,Dinner,139
FB0319,G0319,Coffee,659
FB0320,G0320,Lunch,1672
FB0321,G0321,Coffee,1775
FB0322,G0322,Coffee,1802
FB0323,G0323,Coffee,2101
FB0324,G0324,Lunch,438
FB0325,G0325,Breakfast,1003
FB0326,G0326,Dinner,233
FB0327,G0327,Dinner,1020
FB0328,G0328,Dinner,788
FB0329,G0329,Coffee,2416
FB0330,G0330,Coffee,2351
FB0331,G0331,Breakfast,2445
FB0332,G0332,Breakfast,1197
FB0333,G0333,Dinner,2320
FB0334,G0334,Breakfast,1907
FB0335,G0335,Lunch,1841
FB0336,G0336,Breakfast,1113
FB0337,G0337,Dinner,232
FB0338,G0338,Coffee,1176
FB0339,G0339,Dinner,456
FB0340,G0340,Coffee,580
FB0341,G0341,Lunch,959
FB0342,G0342,Dinner,1853
FB0343,G0343,Lunch,670
FB0344,G0344,Lunch,947
FB0345,G0345,Breakfast,2435
FB0346,G0346,Dinner,2280
FB0347,G0347,Dinner,2306
FB0348,G0348,Lunch,1425
FB0349,G0349,Dinner,1285
FB0350,G0350,Dinner,2207
FB0351,G0351,Breakfast,655
FB0352,G0352,Coffee,342
FB0353,G0353,Dinner,619
FB0354,G0354,Lunch,1122
FB0355,G0355,Lunch,1419
FB0356,G0356,Lunch,1708
FB0357,G0357,Coffee,682
FB0358,G0358,Dinner,1796
FB0359,G0359,Coffee,1951
FB0360,G0360,Breakfast,481
FB0361,G0361,Coffee,2211
FB0362,G0362,Dinner,1611
FB0363,G0363,Coffee,2099
FB0364,G0364,Dinner,2483
FB0365,G0365,Breakfast,481
FB0366,G0366,Coffee,1567
FB0367,G0367,Breakfast,2289
FB0368,G0368,Coffee,992
FB0369,G0369,Coffee,967
FB0370,G0370,Coffee,1199
FB0371,G0371,Dinner,1261
FB0372,G0372,Dinner,2341
FB0373,G0373,Lunch,2418
FB0374,G0374,Coffee,1507
FB0375,G0375,Breakfast,288
FB0376,G0376,Breakfast,1982
FB0377,G0377,Breakfast,608
FB0378,G0378,Lunch,1907
FB0379,G0379,Coffee,102
FB0380,G0380,Coffee,928
FB0381,G0381,Lunch,1336
FB0382,G0382,Lunch,1222
FB0383,G0383,Breakfast,1576
FB0384,G0384,Dinner,437
FB0385,G0385,Dinner,777
FB0386,G0386,Breakfast,1723
FB0387,G0387,Dinner,1059
FB0388,G0388,Coffee,473
FB0389,G0389,Breakfast,104
FB0390,G0390,Lunch,2053
FB0391,G0391,Breakfast,643
FB0392,G0392,Lunch,2227
FB0393,G0393,Coffee,138
FB0394,G0394,Breakfast,1507
FB0395,G0395,Breakfast,1829
FB0396,G0396,Lunch,2056
FB0397,G0397,Breakfast,1037
FB0398,G0398,Coffee,465
FB0399,G0399,Breakfast,522
FB0400,G0400,Dinner,1605
FB0401,G0401,Dinner,661
FB0402,G0402,Coffee,645
FB0403,G0403,Lunch,380
FB0404,G0404,Breakfast,772
FB0405,G0405,Coffee,1538
FB0406,G0406,Lunch,720
FB0407,G0407,Coffee,1912
FB0408,G0408,Lunch,455
FB0409,G0409,Breakfast,673
FB0410,G0410,Breakfast,1672
FB0411,G0411,Dinner,1858
FB0412,G0412,Dinner,672
FB0413,G0413,Lunch,1234
FB0414,G0414,Breakfast,1116
FB0415,G0415,Dinner,209
FB0416,G0416,Dinner,941
FB0417,G0417,Lunch,1704
FB0418,G0418,Dinner,323
FB0419,G0419,Lunch,2127
FB0420,G0420,Coffee,561
FB0421,G0421,Lunch,2146
FB0422,G0422,Breakfast,2263
FB0423,G0423,Breakfast,1579
FB0424,G0424,Dinner,640
FB0425,G0425,Coffee,2428
FB0426,G0426,Coffee,1596
FB0427,G0427,Lunch,2029
FB0428,G0428,Breakfast,168
FB0429,G0429,Breakfast,156
FB0430,G0430,Dinner,983
FB0431,G0431,Breakfast,347
FB0432,G0432,Coffee,2175
FB0433,G0433,Dinner,2152
FB0434,G0434,Coffee,1834
FB0435,G0435,Coffee,437
FB0436,G0436,Lunch,1236
FB0437,G0437,Breakfast,1369
FB0438,G0438,Breakfast,2194
FB0439,G0439,Lunch,736
FB0440,G0440,Dinner,1700
FB0441,G0441,Breakfast,1370
FB0442,G0442,Coffee,1077
FB0443,G0443,Breakfast,1101
FB0444,G0444,Breakfast,1879
FB0445,G0445,Breakfast,1957
FB0446,G0446,Breakfast,1366
FB0447,G0447,Lunch,589
FB0448,G0448,Breakfast,662
FB0449,G0449,Breakfast,771
FB0450,G0450,Coffee,1520
FB0451,G0451,Dinner,783
FB0452,G0452,Dinner,619
FB0453,G0453,Dinner,583
FB0454,G0454,Breakfast,1472
FB0455,G0455,Coffee,1214
FB0456,G0456,Breakfast,1177
FB0457,G0457,Breakfast,2132
FB0458,G0458,Coffee,2192
FB0459,G0459,Dinner,327
FB0460,G0460,Coffee,2421
FB0461,G0461,Lunch,1606
FB0462,G0462,Lunch,1144
FB0463,G0463,Breakfast,2450
FB0464,G0464,Breakfast,1035
FB0465,G0465,Breakfast,280
FB0466,G0466,Breakfast,1101
FB0467,G0467,Breakfast,2032
FB0468,G0468,Dinner,1668
FB0469,G0469,Lunch,833
FB0470,G0470,Breakfast,2364
FB0471,G0471,Coffee,1019
FB0472,G0472,Dinner,1116
FB0473,G0473,Coffee,1410
FB0474,G0474,Dinner,419
FB0475,G0475,Dinner,589
FB0476,G0476,Breakfast,834
FB0477,G0477,Lunch,2212
FB0478,G0478,Breakfast,1742
FB0479,G0479,Breakfast,2005
FB0480,G0480,Dinner,1372
FB0481,G0481,Dinner,453
FB0482,G0482,Coffee,132
FB0483,G0483,Dinner,921
FB0484,G0484,Dinner,2409
FB0485,G0485,Dinner,1093
FB0486,G0486,Coffee,1608
FB0487,G0487,Coffee,900
FB0488,G0488,Lunch,716
FB0489,G0489,Breakfast,1779
FB0490,G0490,Breakfast,1054
FB0491,G0491,Dinner,139
FB0492,G0492,Dinner,105
FB0493,G0493,Coffee,1359
FB0494,G0494,Breakfast,940
FB0495,G0495,Lunch,1819
FB0496,G0496,Coffee,345
FB0497,G0497,Lunch,1246
FB0498,G0498,Breakfast,279
FB0499,G0499,Lunch,2228
FB0500,G0500,Coffee,1625
